,doctor_id,doctor_name,speciality_stream,experience_years,consultation_fees,locality,locality_latitude,locality_longitude,translated_practice_type,clinic_name,show_consultation_fees,summary,qualification_1,qualification_2,qualification_3,qualification_4,qualification_5,qualification_6,qualification_7,is_qualification_valid_in_country_1,is_qualification_valid_in_country_2,is_qualification_valid_in_country_3,is_qualification_valid_in_country_4,is_qualification_valid_in_country_5,is_qualification_valid_in_country_6,is_qualification_valid_in_country_7,college_1,college_2,college_3,college_4,college_5,college_6,college_7,completion_year_1,completion_year_2,completion_year_3,completion_year_4,completion_year_5,completion_year_6,completion_year_7,sub_specialty_1,sub_specialty_2,sub_specialty_3,sub_specialty_4,sub_specialty_5,sub_specialty_6,sub_specialty_7,sub_specialty_8,sub_specialty_9,sub_specialty_10,sub_specialty_11,sub_specialty_12,specialty_1,specialty_2,specialty_3,specialty_4,specialty_5,specialty_6,specialty_7,specialty_8,specialty_9,specialty_10,specialty_11,specialty_12,doctor_label_1,doctor_label_2,doctor_label_3,doctor_label_4,doctor_label_5,doctor_label_6,doctor_label_7,doctor_label_8,doctor_label_9,doctor_label_10,doctor_label_11,doctor_label_12,approved_1,approved_2,approved_3,approved_4,approved_5,approved_6,approved_7,approved_8,approved_9,approved_10,approved_11,approved_12
0,477320,Dr. Arunesh Dutt Upadhyay,,34.0,550,Tingare Nagar,18.577995,73.89404,Clinic,Dr. Upadhyay's Clinic,True,"Dr. Arunesh Dutt Upadhyay has completed his MBBS from the Armed Forces Medical College Pune (AFMC). Following which, he served as a Medical Officer in the Indian Air Force for 29 Years, retiring as a group captain. During his tenure, he was deputed to United Nations Peace Keeping force for two tenures during which he served in the Democratic Republic of Congo. 

With an MD in Aerospace Medicine from the prestigious Institute of Aviation Medicine, Bangalore, he is one of the 16 doctors in the country authorized to conduct annual and biannual medical examinations of commercial pilots as per the Directorate General Civil Aviation Rules.

His extensive experience as a Doctor is evident in his friendly and non-alarmist approach towards patient's health conditions. Maintaining an approach of complete transparency, inclusion, and explanation of the disease process, he provides suggestions on the possible solutions. Thus ensuring the comfort level of the patient during and after consultation. He restricts his number of appointments so that he can spend adequate time interacting and examining the patient. Dr. Upadhyay practices at only at Dr. Upadhyay's Clinic in Adarsh Colony Tingrenagar, his own establishment.

Extremely proficient as a Physician he is very reliable for first consultation for the right direction of treatment or for a second opinion to get a complete explanation of what has been happening and what other alternatives, especially as a Rheumatologist, Diabetologist, for Conservative /Preventive Cardiology, Chronic Pain/ Headache/ Backache and Management Chronic Disease and Infectious Disease Treatment, makes him a go-to Physician.",MD - Ayurveda Medicine , BAMS,,,,,,True , True,,,,,,"Maharashtra Universtity of Health Sciences, Nashik "," Bharatiya Sanskriti Darshan Trust Ayurvedic Hospital & Research Centre, Wagholi",,,,,,2007 , 2003,,,,,,Ayurveda,,,,,,,,,,,,Ayurveda,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
1,335312,Dr. Renu Mahtani,,33.0,700,Aundh,18.557035,73.801,Clinic, Dr. Renu Mahtani's Autoimmunity Treatment Centre,True,"Dr. Renu Mahtani, the founder of Param Health Clinic is a true healer in spirit and profession. She is a practicing physician in Pune for the past 25 years. She is committed to providing deep lasting solutions in health care and addressing health issues at their root. 

Until our early 30s, proper nutrition and exercise suffice to keep us fit and feeling well. As we age though, the capacity of our body to regenerate and heal slows down, making way for chronic diseases. The root of any problem can be narrowed down to cells and their declining functions-metabolism, enzymes, and hormone production, immune system functions, etc. Chronic diseases are actually our cells crying out for help-for detoxification and cellular nutrition. 

She is also an adroit yoga therapist and exemplifies “heal the mind and the body follows”. She was associated with the Intensive Cardiac Care Unit at the Ruby Hall Clinic, Pune for the first 6 years and then she set out on her own journey to herald the tidings of a whole new world of holistic healing, to the society, which also comprises of avant-garde, potent, globally acclaimed, breathing and yoga techniques. 

Her heartfelt oratory skills through her workshops have evoked benefits within many corporate organizations. As a published author, she has written two books -  “Power - Pranayama” - Tapping the healing potentials breath and ""Power of Posture"" - Mindful Alignment for a Pain-Free Life.",BAMS , B.Sc , Diploma in Medical Cosmetology,,,,,True , True , True,,,,,"Seth Govindaji Raoji ,Ayurveda Mahavidylya, Solapur Shivaji University, Kolhapur "," Dynprabhodini & Pune University , Pune "," Medversity,Germany",,,,,1996 , 2001 , 2013,,,,,Cosmetologist,,,,,,,,,,,,Cosmetologist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
2,374450,Dr. Milind Kulkarni,,17.0,500,Vishrantwadi,18.573265,73.88287,Clinic,Kulkarni Clinic,True,"Dr. Milind Kulkarni is an HIV specialist and General Physician in Yerwada, Pune and has an experience of 14 years in these fields. Dr. Milind Kulkarni practices at Chest/TB and HIV/AIDS Physician in Yerwada, Pune and Kulkarni's Clinic in Yerwada, Pune. He completed MBBS from Maharashtra Institute of Medical Sciences and Research Latur in 2003, DTCD (TDD) from Mumbai University. In 2007 and C- HIV from Mumbai University. In 2008 he is a member of HIV Medicine Association of India and Indian Medical Association (IMA).",MBBS , DOMS,,,,,,True , True,,,,,,"Byramjee Jeejeebhoy Government Medical College & Sasson General Hospital, Pune "," Byramjee Jeejeebhoy Government Medical College & Sasson General Hospital, Pune",,,,,,1992 , 1996,,,,,,Ophthalmologist/ Eye Surgeon,,,,,,,,,,,,Ophthalmologist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
3,300543,Dr. Jyoti Gulati,,27.0,700,Aundh,18.55647,73.80882,Clinic,Gulati's Clinic,True,"Dr.Jyoti Gulati is a General Physician, Medicine, Diabetologist, and Cardiologist with an experience of 27+ years of experience. She is a lifetime member of Indian Medical Association(IMA) and Indian Society of CritMedicine. She Was In charge of Cardiac Care Unit At Joshi Hospital For 14 Years. She is the Director and Chief Physician at Shri Shakti Hospital. She in Practising in Aundh Since 15 years. She is also a Panel Consultant at AIMS Hospital Aundh, Sai Shree Hospital Aundh. Her Special interest is in the Field of  Diabetes and Geriatrics. She regularly Participates In Free Health Check-ups and Teaching Programmes.",MBBS , DNB - General Medicine , DNB - Cardiology,,,,,True , True , True,,,,,"K. J. Somaiya Medical College and Research Centre, Sion - Mumbai ", NM Wardia Institute of Cardiology , NM Wardia Institute of Cardiology,,,,,2002 , 2005 , 2010,,,,,Cardiologist,,,,,,,,,,,,Cardiologist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
4,534300,Dr. Manoj Madhukar Deshpande,AYUSH,24.0,400,Shivajinagar,18.51574,73.84734,Clinic,Kalpataru Ayurvediya Chikitsalaya,True,"Dr. Manoj Madhukar Deshpande is  an ayurvedic practitioner. His specialty is in ayurvedic dermatology and ayurvedic cosmetology. Treated more than 10000 cases of a deadly skin disease named PSORIASIS. The treatment is also done for all sort of chronic diseases like allergies, joint disorders, gynaecological , pediatric, liver and kidney diseases, digestive and metabolic disorders. The treatment of all sort of Panchakarma therapies are done. ",BDS,,,,,,,True,,,,,,,"Mahatma Gandhi Vidyamandir's Dental College ,Nashik",,,,,,,2007,,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
5,513604,Dr. (Colonel) A.K Mehta,,38.0,500,Hadapsar,18.511402,73.92942,Clinic,Healthcare Clinic,True,Dr. (Colonel) A.K Mehta is an Ex- Army Medical Corps Doctor passionate about improving Health & Fitness of all. Willing to take lectures on any health & fitness related subject. He provides free treatment to BPL (Below poverty line) patients. Male/Female home Physiotherapist available,BDS,,,,,,,True,,,,,,,VYWS Dental college.Amravati,,,,,,,2009,,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
6,229911,Dr. Pramod B. Umarji,,43.0,600,Baner,18.57114,73.78133,Hospital,Umarji Mother & Child Care,True,,BDS,,,,,,,True,,,,,,,"Dr. D.Y. Patil Dental College  Hospital, Pune",,,,,,,2009,,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
7,338269,Dr. Ravindra Chhajed,,24.0,600,Market Yard,18.4811,73.8663,Hospital,Harsh Hospital,True,"Dr. Ravindra Chhajed is the director and owner of Harsh Hospital in Market Yard which was started in 2001. He is currently visiting hospitals like Inamdar Hospital, Ruby Hall Clinic, and Sahyadri Hospital. 

Dr. Chhajed is also closely involved with Charitable Trust Anantpur Dialysis Centre. ",BDS,,,,,,,True,,,,,,,C.S.M.S.S DENTAL COLLEGE AND HOSPITAL AURANGABAD,,,,,,,2010,,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
8,753003,Dr. Abhijit Bagade,,11.0,500,Kothrud,18.50244,73.80962,Clinic,Health Point Polyclinic,True,"Dr. Abhijit Bagade says ""Hello. I'm Dr. Abhijit Bagade. I have done my MD Internal Medicine from the prestigious JJ Hospital, Mumbai. I have also cleared the IAS (UPSC) Prelims exam as I am inclined towards community service.""",M.D. (Psychiatry) , MBBS,,,,,,True , True,,,,,,"Byramjee Jeejeebhoy Government Medical College & Sasson General Hospital, Pune ", JMF'S ACPM Medical college,,,,,,2006 , 2003,,,,,,Psychiatrist,,,,,,,,,,,,Psychiatrist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
9,595631,Dr. Prafull Warghane,,17.0,500,Wakad,18.596495,73.772385,Clinic,Chest Care Centre,True,"Dr. Prafull Warghane is a Tuberculous and chest Diseases Specialist and General Physician in Kharadi, Pune and has an experience of 14 years in these fields. Dr. Prafull Warghane practices at Rising Medicare Hospital in Kharadi, Pune. He completed MBBS from nagpur university in 2001 and Diploma in Tuberculosis Diseases (TDD) from Mumbai in 2004.
He is a member of Indian Medical Association (IMA). Some of the services provided by the doctor are: Health Checkup (General), Allergy Treatment, Bronchial Asthma Treatment and Chest Disease Treatment etc.",MBBS , MD - Obstetrics & Gynaecology,,,,,,True , True,,,,,,University of Pune , University of Pune,,,,,,1985 , 1988,,,,,,Gynecologist,,,,,,,,,,,,Gynecologist/Obstetrician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
