,Unnamed: 0,doctor_id,doctor_name,speciality_stream,experience_years,consultation_fees,locality,locality_latitude,locality_longitude,translated_practice_type,clinic_name,show_consultation_fees,summary,qualification_1,qualification_2,qualification_3,is_qualification_valid_in_country_1,is_qualification_valid_in_country_2,is_qualification_valid_in_country_3,college_1,college_2,college_3,completion_year_1,completion_year_2,completion_year_3,sub_specialty_1,sub_specialty_2,specialty_1,specialty_2,doctor_label_1,doctor_label_2,approved_1,approved_2
5123,5123,572326,Dr. Nikhil Joshi,,14.0,100,Sinhagad Road,18.498955,73.83887,Clinic,Sanjeevani Dental Care,True,,MS - Counselling & Psychotherapy , MSc - Educational Psychology,,True , True,,"Institute For Behavioral And Management Sciences, Chittoor ", Harvard University,,2011 , 2012,,Homoeopath,,Homoeopath,,Doctor,,True,
5124,5124,568601,Dr. Neha Naik,,9.0,300,Sangvi,18.582708,73.815674,Hospital,Sai Multispeciality Hospital,True,,BDS,,,True,,,"Bharati Vidyapeeth University, Pune",,,2017,,,Homoeopath,,Homoeopath,,Doctor,,True,
5125,5125,339777,Dr. Prashant Garade,AYUSH,9.0,200,Sangavi,18.581553,73.81683000000002,Clinic,Sukhayu Ayurvedic Clinic,True,,BDS,,,True,,,"Dr. D Y Patil Vidyapeeth, Pune",,,2016,,,ENT/ Otorhinolaryngologist,,Ear-Nose-Throat (ENT) Specialist,,Doctor,,True,
5126,5126,646571,Dr. Shradha Mehta   (Physiotherapist),Therapist,9.0,300,Lulla Nagar,18.48479,73.88599,Clinic,Mehta's Physiotherapy Clinic,True,,BDS , MDS - Orthodontics and Dentofacial Orthopaedics,,True , True,,"SDM College of Dental Sciences, Dharwad ", D A Pandu Memorial - RV Dental College And Hospital,,2011 , 2016,,Dentist,,Dentist,,Doctor,,True,
5127,5127,571519,Dr. Tushar V Ubare   (Physiotherapist),Therapist,9.0,300,Yerwada,18.567957,73.88235,Clinic,PhysioNeeds,True,"Dr. Tushar V Ubare is a Physiotherapist in Vishrantwadi, Pune and has an experience of 6 years in this field.
Physiotherapy services at home for elderly patients, post-operative rehabilitation, cervical / lumbar problems, mechanical problems, postural correction etc.
 Specialist in Manual Therapy, Kinesiology Taping, Pilates, Balls, Bands & mats exercises, Electrotherapy etc.
You can book your appointment as per your convenience.",BPTh/BPT , MPTh/MPT - Musculoskeletal Physiotherapy,,True , True,,Maharshtra University of Health Sciences ,  Sancheti College of Physiotherapy,,2015 , 2018,,Ophthalmologist/ Eye Surgeon,,Ophthalmologist,,Doctor,,True,
5128,5128,667056,Dr. Anuja S Vaidya,,10.0,600,Shivajinagar,18.533546,73.847115,Hospital,Cloudnine Hospital - Shivaji Nagar,True,,MBBS,,,True,,,"Maharashtra Universtity of Health Sciences, Nashik",,,2016,,,Dentist,,Dentist,,Doctor,,True,
5129,5129,383860,Dr. Ashwini Kulkarni,AYUSH,13.0,200,Nigdi,18.65613,73.768005,Clinic,Matruchaya Clinic,True,,BPTh/BPT,,,True,,,People's College of Medical Sciences & Research Centre,,,2016,,,Dentist,,Dentist,,Doctor,,True,
5130,5130,374184,Dr. Deepali Agrawal,AYUSH,13.0,0,Yerwada,18.548899,73.89028,Clinic,Arnav Clinic,True,,BPTh/BPT,,,True,,,"MGM Medical College, Aurangabad, Maharashtra",,,2017,,,Consultant Physician,,General Physician,,Doctor,,True,
5131,5131,554790,Dr. Chetan Hariprasad Kabra,AYUSH,12.0,200,Pimple Nilakh,18.586088,73.77786,Clinic,Holistic Ayurcare,True,,MPTh/MPT - Sports Physiotherapy,,,True,,,"Barkatulla University, Bhopal",,,2017,,,Ayurveda,,Ayurveda,,Doctor,,True,
5132,5132,383235,Dr. Mahesh Karwa,,16.0,100,Dhankawadi,18.466143,73.85335,Clinic,Shivprasad Clinic,True,,BPTh/BPT,,,True,,,Maharshtra University of Health Sciences,,,2015,,,Ayurveda,,Ayurveda,,Doctor,,True,
